"id","year","quarter","state_name","num_blocks_surveyed","households","males_age_0_4_years","females_age_0_4_years","persons_age_0_4_years","males_age_5_14_years","females_age_5_14_years","persons_age_5_14_years","males_age_15_29_years","females_age_15_29_years","persons_age_15_29_years","males_age_15_59_years","females_age_15_59_years","persons_age_15_59_years","males_age_15_above_years","females_age_15_above_years","persons_age_15_above_years","males_all_ages","females_all_ages","persons_all_ages","state_code"
486,"2023","October-December","Chhattisgarh",103.0,823.0,93.0,100.0,193.0,241.0,221.0,462.0,469.0,446.0,915.0,1165.0,1140.0,2305.0,1335.0,1324.0,2659.0,1669.0,1645.0,3314.0,"22"
487,"2023","October-December","Delhi",120.0,841.0,79.0,74.0,153.0,227.0,193.0,420.0,452.0,355.0,807.0,1062.0,896.0,1958.0,1208.0,1043.0,2251.0,1514.0,1310.0,2824.0,"07"
488,"2023","October-December","Gujarat",232.0,1812.0,224.0,190.0,414.0,506.0,427.0,933.0,1082.0,961.0,2043.0,2623.0,2455.0,5078.0,3026.0,2901.0,5927.0,3756.0,3518.0,7274.0,"24"
489,"2023","October-December","Haryana",160.0,1232.0,165.0,149.0,314.0,393.0,295.0,688.0,753.0,589.0,1342.0,1703.0,1507.0,3210.0,1951.0,1800.0,3751.0,2509.0,2244.0,4753.0,"06"
490,"2023","October-December","Himachal Pradesh",48.0,372.0,32.0,27.0,59.0,93.0,72.0,165.0,179.0,136.0,315.0,428.0,357.0,785.0,471.0,417.0,888.0,596.0,516.0,1112.0,"02"
491,"2023","October-December","Jharkhand",136.0,1080.0,154.0,152.0,306.0,378.0,349.0,727.0,652.0,602.0,1255.0,1482.0,1434.0,2917.0,1700.0,1625.0,3326.0,2232.0,2126.0,4359.0,"20"
492,"2023","October-December","Karnataka",293.0,2301.0,226.0,220.0,446.0,498.0,437.0,935.0,1138.0,1080.0,2218.0,2774.0,2678.0,5452.0,3209.0,3172.0,6381.0,3933.0,3829.0,7762.0,"29"
493,"2023","October-December","Kerala",303.0,2385.0,246.0,264.0,510.0,588.0,583.0,1171.0,819.0,834.0,1653.0,2275.0,2718.0,4993.0,3066.0,3631.0,6698.0,3900.0,4478.0,8379.0,"32"
494,"2023","October-December","Madhya Pradesh",246.0,1918.0,287.0,247.0,534.0,614.0,576.0,1190.0,1147.0,1056.0,2203.0,2705.0,2643.0,5348.0,3091.0,3064.0,6155.0,3992.0,3887.0,7879.0,"23"
495,"2023","October-December","Maharashtra",555.0,4302.0,462.0,444.0,906.0,1186.0,1106.0,2292.0,2188.0,1905.0,4093.0,5597.0,5255.0,10852.0,6514.0,6264.0,12778.0,8162.0,7814.0,15976.0,"27"
496,"2023","October-December","Odisha",136.0,1067.0,113.0,119.0,232.0,262.0,253.0,515.0,505.0,524.0,1029.0,1292.0,1334.0,2626.0,1521.0,1542.0,3063.0,1896.0,1914.0,3810.0,"21"
497,"2023","October-December","Punjab",208.0,1600.0,186.0,189.0,375.0,476.0,416.0,892.0,854.0,683.0,1538.0,2072.0,1884.0,3957.0,2445.0,2290.0,4736.0,3107.0,2895.0,6003.0,"03"
498,"2023","October-December","Rajasthan",216.0,1635.0,252.0,220.0,472.0,610.0,534.0,1144.0,1133.0,992.0,2125.0,2486.0,2385.0,4871.0,2854.0,2760.0,5614.0,3716.0,3514.0,7230.0,"08"
499,"2023","October-December","Tamil Nadu",437.0,3438.0,276.0,282.0,558.0,700.0,673.0,1373.0,1421.0,1438.0,2859.0,3788.0,3984.0,7773.0,4543.0,4814.0,9358.0,5519.0,5769.0,11289.0,"33"
500,"2023","October-December","Telangana",197.0,1538.0,147.0,146.0,293.0,447.0,419.0,866.0,722.0,705.0,1427.0,1821.0,1815.0,3636.0,2080.0,2078.0,4158.0,2674.0,2643.0,5317.0,"36"
501,"2023","October-December","Uttarakhand",96.0,733.0,91.0,88.0,179.0,240.0,246.0,486.0,365.0,340.0,705.0,910.0,900.0,1810.0,1059.0,1029.0,2088.0,1390.0,1363.0,2753.0,"05"
502,"2023","October-December","Uttar Pradesh",408.0,3238.0,605.0,524.0,1129.0,1357.0,1117.0,2474.0,2243.0,1942.0,4185.0,4882.0,4585.0,9467.0,5492.0,5174.0,10666.0,7454.0,6815.0,14269.0,"09"
503,"2023","October-December","West Bengal",372.0,2926.0,285.0,298.0,583.0,669.0,593.0,1262.0,1323.0,1416.0,2739.0,3745.0,3856.0,7601.0,4557.0,4618.0,9175.0,5511.0,5509.0,11020.0,"19"
504,"2023","October-December","Jammu And Kashmir",168.0,1340.0,185.0,186.0,371.0,448.0,388.0,836.0,741.0,607.0,1348.0,1934.0,1768.0,3702.0,2274.0,2094.0,4368.0,2907.0,2668.0,5575.0,"01"
505,"2023","October-December","All-India",5697.0,44544.0,5434.0,5169.0,10603.0,13120.0,11916.0,25036.0,23227.0,21437.0,44666.0,57560.0,56534.0,114098.0,67052.0,66513.0,133570.0,85606.0,83598.0,169209.0,"99"
